token,{{TOKEN}}
i,ms
1,935.62
2,0.79
3,0.9
4,0.95
5,0.83
6,0.96
7,0.73
8,1.13
9,0.92
10,0.83
11,0.81
12,1
13,0.91
14,1.02
15,0.87
16,0.91
17,0.66
18,0.76
19,0.77
20,0.74
21,0.88
22,0.78
23,0.87
24,0.89
25,0.9
26,0.73
27,0.89
28,1.11
29,1.2
30,0.86
31,0.89
32,0.96
33,0.8
34,0.85
35,0.85
36,0.95
37,1.02
38,0.84
39,0.88
40,0.95
41,0.78
42,0.91
43,1.07
44,0.8
45,0.84
46,1.08
47,0.83
48,0.82
49,1.14
50,0.99
51,0.86
52,0.83
53,0.83
54,0.78
55,1.4
56,0.97
57,0.99
58,0.97
59,0.82
60,0.92
61,0.91
62,0.88
63,0.86
64,0.93
65,0.8
66,0.84
67,0.83
68,0.75
69,0.85
70,0.79
71,0.77
72,0.81
73,0.91
74,0.89
75,0.86
76,0.72
77,0.87
78,0.79
79,0.81
80,0.76
81,0.96
82,0.85
83,0.85
84,0.75
85,0.69
86,0.89
87,0.9
88,0.72
89,0.83
90,0.81
91,0.8
92,0.97
93,0.93
94,0.86
95,0.79
96,0.79
97,0.78
98,0.89
99,0.79
100,0.77
101,0.9
102,1.09
103,0.8
104,0.82
105,1.03
106,1.17
107,0.86
108,0.81
109,0.94
110,0.86
111,0.86
112,0.84
113,0.97
114,0.92
115,0.79
116,0.89
117,0.99
118,0.93
119,0.77
120,1.26
121,0.81
122,0.93
123,0.84
124,0.81
125,0.92
126,1.02
127,0.85
128,1.03
129,0.83
130,0.76
131,1.11
132,0.74
133,0.79
134,0.87
135,0.88
136,0.84
137,1.13
138,1.31
139,0.79
140,0.93
141,0.95
142,0.76
143,0.83
144,0.92
145,0.89
146,0.83
147,1.05
148,0.76
149,0.93
150,1.01
151,0.89
152,0.87
153,0.75
154,0.75
155,1.04
156,0.77
157,0.8
158,0.75
159,1.24
160,0.99
161,0.83
162,0.87
163,0.99
164,0.87
165,0.89
166,0.85
167,0.96
168,0.96
169,0.82
170,0.81
171,0.83
172,1.05
173,0.86
174,0.77
175,0.86
176,0.91
177,0.91
178,0.74
179,0.82
180,0.86
181,0.82
182,0.89
183,0.66
184,0.84
185,0.88
186,0.87
187,0.86
188,0.82
189,0.85
190,0.79
191,0.82
192,0.8
193,0.83
194,0.9
195,0.88
196,0.83
197,0.78
198,0.92
199,0.73
200,1.39
201,0.67
202,0.82
203,1.23
204,0.77
205,0.89
206,1.08
207,0.87
208,0.82
209,1.04
210,0.86
211,1.11
212,0.76
213,0.79
214,0.86
215,1.18
216,0.8
217,0.82
218,0.92
219,0.85
220,0.97
221,1.25
222,0.74
223,0.93
224,1.27
225,0.98
226,0.77
227,0.88
228,0.74
229,0.85
230,0.81
231,0.97
232,0.94
233,1.03
234,0.85
235,0.81
236,1.14
237,0.87
238,0.79
239,0.92
240,0.82
241,0.9
242,0.91
243,0.74
244,0.75
245,0.88
246,0.77
247,0.9
248,0.91
249,0.79
250,0.74
251,0.83
252,0.77
253,0.76
254,0.77
255,0.81
256,0.84
257,0.78
258,0.95
259,0.96
260,0.81
261,0.93
262,0.92
263,0.81
264,0.87
265,0.8
266,0.72
267,1.22
268,0.81
269,0.78
270,0.95
271,0.98
272,0.83
273,0.93
274,0.71
275,0.76
276,0.88
277,0.76
278,1.03
279,0.81
280,0.82
281,0.96
282,0.89
283,0.83
284,0.74
285,0.86
286,1.03
287,1.3
288,0.88
289,1.01
290,1.04
291,1.04
292,0.83
293,0.87
294,1.04
295,1.15
296,0.9
297,0.84
298,0.88
299,0.89
300,0.88
301,0.84
302,0.83
303,0.79
304,1.08
305,0.72
306,0.79
307,1.04
308,0.82
309,0.77
310,1.06
311,0.76
312,0.84
313,0.99
314,0.82
315,0.85
316,1.09
317,0.8
318,0.86
319,0.63
320,0.89
321,0.82
322,0.84
323,1.06
324,1.08
325,0.9
326,1.06
327,0.91
328,0.68
329,0.87
330,0.82
331,0.83
332,0.92
333,0.9
334,0.69
335,1.1
336,0.89
337,0.79
338,1.08
339,0.98
340,1.09
341,0.95
342,0.74
343,0.8
344,0.78
345,0.8
346,0.78
347,0.82
348,1.02
349,0.83
350,0.73
351,0.82
352,0.84
353,0.88
354,0.88
355,1.08
356,0.91
357,0.83
358,1.09
359,0.78
360,0.74
361,0.77
362,1.05
363,0.74
364,0.86
365,0.84
366,0.81
367,0.75
368,0.78
369,0.87
370,0.77
371,1.02
372,0.85
373,0.77
374,0.96
375,0.8
376,0.82
377,0.92
378,0.93
379,0.92
380,0.88
381,0.89
382,0.76
383,0.92
384,0.83
385,0.86
386,0.8
387,0.87
388,0.91
389,0.86
390,0.84
391,0.84
392,0.81
393,0.81
394,0.95
395,0.76
396,0.77
397,0.89
398,0.82
399,0.88
400,0.92
401,0.83
402,0.68
403,1
404,0.79
405,1.05
406,0.77
407,0.86
408,1.29
409,0.74
410,0.8
411,0.76
412,0.85
413,0.77
414,0.79
415,0.94
416,0.95
417,1
418,0.78
419,0.85
420,0.87
421,0.83
422,0.79
423,0.82
424,1.09
425,0.81
426,0.89
427,0.92
428,0.85
429,1.13
430,0.84
431,0.94
432,0.76
433,0.79
434,0.75
435,0.78
436,0.77
437,0.87
438,1.04
439,0.77
440,0.84
441,0.83
442,1.03
443,0.76
444,0.86
445,0.93
446,0.91
447,0.85
448,0.88
449,0.9
450,1.05
451,0.89
452,0.88
453,0.93
454,0.78
455,1.13
456,0.79
457,0.83
458,0.96
459,0.74
460,1.22
461,0.79
462,0.82
463,0.8
464,0.73
465,0.82
466,0.77
467,0.84
468,1.01
469,0.88
470,0.87
471,1.01
472,0.8
473,0.69
474,0.81
475,0.78
476,0.75
477,0.89
478,0.84
479,0.91
480,0.85
481,0.82
482,0.83
483,0.9
484,0.87
485,0.79
486,0.9
487,0.81
488,0.84
489,0.89
490,0.93
491,0.8
492,0.78
493,0.92
494,0.93
495,0.93
496,0.9
497,0.78
498,0.82
499,1.43
500,0.73
