token,CAND-RZ4
i,ms
1,2533.76
2,0.74
3,0.78
4,0.69
5,0.79
6,0.82
7,0.76
8,0.77
9,0.82
10,0.83
11,0.79
12,0.86
13,0.86
14,0.8
15,0.76
16,0.97
17,0.71
18,0.76
19,0.78
20,0.84
21,0.71
22,0.75
23,0.69
24,0.7
25,0.75
26,0.72
27,0.79
28,1.19
29,1.05
30,0.93
31,0.78
32,0.77
33,0.66
34,0.89
35,0.89
36,0.96
37,0.68
38,0.84
39,0.76
40,1.23
41,0.78
42,0.86
43,1.05
44,0.68
45,0.93
46,0.73
47,0.94
48,0.71
49,1.1
50,0.82
51,0.84
52,0.67
53,0.78
54,0.7
55,0.73
56,0.79
57,0.8
58,0.85
59,0.82
60,0.74
61,0.75
62,0.7
63,0.8
64,0.7
65,0.88
66,0.64
67,0.89
68,0.74
69,0.97
70,0.71
71,0.89
72,0.66
73,0.77
74,0.95
75,1.14
76,0.83
77,0.91
78,0.92
79,0.72
80,0.9
81,0.65
82,1.07
83,0.81
84,0.8
85,0.73
86,0.84
87,0.76
88,0.84
89,0.77
90,0.72
91,0.79
92,0.76
93,0.79
94,0.8
95,0.78
96,0.8
97,0.79
98,0.85
99,0.81
100,0.74
101,1.15
102,0.98
103,0.98
104,0.82
105,0.76
106,0.93
107,0.74
108,0.78
109,0.72
110,0.8
111,1.01
112,0.78
113,0.79
114,0.71
115,0.82
116,0.77
117,0.77
118,0.7
119,0.73
120,1.2
121,0.83
122,1.02
123,0.9
124,0.74
125,0.79
126,0.89
127,0.79
128,0.75
129,0.85
130,0.91
131,0.76
132,0.79
133,0.76
134,0.82
135,1.13
136,0.96
137,0.78
138,0.8
139,0.69
140,0.84
141,0.66
142,0.69
143,0.73
144,1.09
145,1.11
146,0.85
147,0.85
148,0.84
149,0.88
150,0.81
151,0.76
152,0.83
153,0.74
154,0.81
155,0.73
156,0.85
157,1.02
158,0.82
159,1.17
160,0.82
161,0.8
162,1
163,0.74
164,1.08
165,0.79
166,0.72
167,0.87
168,0.93
169,0.79
170,0.67
171,0.85
172,0.67
173,0.92
174,0.77
175,0.84
176,0.71
177,0.77
178,0.77
179,0.78
180,0.86
181,0.8
182,0.92
183,0.75
184,0.71
185,0.82
186,0.79
187,0.79
188,0.89
189,0.74
190,0.92
191,0.77
192,0.84
193,0.81
194,1.1
195,0.93
196,0.83
197,0.72
198,0.7
199,0.88
200,0.68
201,0.71
202,0.75
203,0.73
204,0.97
205,0.74
206,0.79
207,0.7
208,0.83
209,0.66
210,0.87
211,0.66
212,1.1
213,0.93
214,0.94
215,0.7
216,0.89
217,0.75
218,0.77
219,0.75
220,0.71
221,1.01
222,0.78
223,0.83
224,0.81
225,0.75
226,0.72
227,0.98
228,0.65
229,0.74
230,0.85
231,0.74
232,0.82
233,0.76
234,0.83
235,0.75
236,0.75
237,0.69
238,1.15
239,1.69
240,0.91
241,0.99
242,0.73
243,0.92
244,0.67
245,0.79
246,0.8
247,0.78
248,0.78
249,0.75
250,0.84
251,0.72
252,1.22
253,0.82
254,0.89
255,0.66
256,1.03
257,0.85
258,1.15
259,0.88
260,0.84
261,0.89
262,0.78
263,0.81
264,0.65
265,0.78
266,0.66
267,0.72
268,0.75
269,1.3
270,0.85
271,0.77
272,0.86
273,0.96
274,0.79
275,0.74
276,0.73
277,0.72
278,0.74
279,0.81
280,0.75
281,1.2
282,0.77
283,0.73
284,1.06
285,0.88
286,0.85
287,0.93
288,0.71
289,0.9
290,0.74
291,0.97
292,0.69
293,0.78
294,0.67
295,0.77
296,0.65
297,0.88
298,0.77
299,0.78
300,1.21
301,0.78
302,0.82
303,0.99
304,0.97
305,0.65
306,0.89
307,1.12
308,1.19
309,0.8
310,0.76
311,1.3
312,0.84
313,1.02
314,0.93
315,0.72
316,0.76
317,0.69
318,0.7
319,0.75
320,0.76
321,0.78
322,1.03
323,1.12
324,0.88
325,0.79
326,0.75
327,0.79
328,0.73
329,0.84
330,0.85
331,0.97
332,0.88
333,1.03
334,0.73
335,0.94
336,0.7
337,1.18
338,0.81
339,0.83
340,1.05
341,0.9
342,0.72
343,0.79
344,0.77
345,0.86
346,0.81
347,1
348,0.89
349,1.06
350,0.82
351,0.91
352,1.08
353,0.82
354,0.73
355,0.68
356,0.9
357,0.88
358,0.77
359,0.73
360,0.78
361,0.91
362,0.75
363,0.77
364,0.71
365,0.82
366,0.8
367,0.72
368,0.74
369,0.82
370,0.9
371,0.69
372,0.83
373,1.12
374,0.89
375,0.96
376,0.79
377,0.78
378,0.75
379,0.68
380,0.76
381,0.74
382,0.89
383,0.79
384,0.67
385,0.83
386,1.07
387,0.84
388,0.67
389,0.83
390,0.64
391,0.92
392,0.68
393,0.76
394,0.71
395,0.7
396,0.71
397,0.82
398,0.72
399,0.71
400,0.72
401,0.66
402,0.74
403,0.83
404,0.72
405,0.74
406,0.91
407,0.7
408,0.8
409,0.7
410,0.65
411,0.78
412,1.24
413,0.87
414,0.8
415,1.09
416,0.86
417,1.08
418,0.85
419,0.82
420,0.79
421,0.85
422,0.8
423,0.73
424,0.74
425,0.75
426,0.83
427,0.71
428,0.81
429,0.67
430,0.86
431,0.79
432,0.89
433,0.8
434,0.77
435,0.82
436,0.8
437,0.74
438,0.73
439,0.87
440,0.77
441,0.89
442,0.84
443,1.1
444,0.63
445,1.13
446,0.95
447,0.72
448,0.73
449,0.71
450,0.87
451,0.84
452,0.73
453,1.14
454,1.15
455,0.83
456,0.77
457,0.85
458,0.69
459,0.81
460,0.71
461,1.14
462,0.76
463,1.08
464,0.75
465,1.11
466,0.94
467,0.93
468,1.05
469,0.82
470,0.95
471,0.77
472,0.86
473,0.77
474,0.87
475,0.69
476,0.9
477,0.66
478,0.78
479,0.91
480,0.74
481,0.76
482,0.71
483,1.19
484,1.09
485,0.78
486,0.72
487,0.81
488,0.91
489,0.73
490,0.79
491,0.72
492,0.86
493,0.8
494,1.12
495,1.03
496,0.81
497,0.85
498,0.78
499,0.73
500,0.83
